IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,IATA,ASN,TCP延迟(ms),下载速度(MB/s),状态
104.17.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,182.18,,成功
104.16.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,102.53,,成功
104.16.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,160.53,,成功
104.17.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,182.76,,成功
104.16.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,184.42,,成功
104.16.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,73.93,,成功
104.17.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,183.07,,成功
104.17.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,183.17,,成功
104.18.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,165.85,,成功
104.18.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,175.57,,成功
104.18.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,188.92,,成功
104.18.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,162.00,,成功
104.17.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,183.08,,成功
104.19.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,182.50,,成功
104.20.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,182.56,,成功
104.19.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,176.71,,成功
104.20.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,177.59,,成功
104.19.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,190.94,,成功
104.20.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,183.46,,成功
104.19.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,201.13,,成功
104.20.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,179.63,,成功
104.21.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,199.57,,成功
104.16.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,102.18,,成功
104.18.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,160.68,,成功
104.21.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,201.36,,成功
104.21.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,194.14,,成功
104.21.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,184.31,,成功
104.20.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,194.79,,成功
104.21.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,186.26,,成功
162.159.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,203.87,,成功
162.159.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.66,,成功
162.159.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.12,,成功
104.19.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,177.43,,成功
162.159.130.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,188.64,,成功
162.159.128.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,181.63,,成功
162.159.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,206.51,,成功
162.159.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,203.68,,成功
162.159.192.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.78,,成功
162.159.193.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.68,,成功
104.24.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.44,,成功
162.159.129.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,197.66,,成功
104.25.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,198.39,,成功
104.24.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,196.98,,成功
104.24.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,180.91,,成功
104.25.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.16,,成功
104.25.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,175.10,,成功
104.24.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,186.06,,成功
104.26.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,160.14,,成功
104.26.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,183.75,,成功
104.26.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,171.92,,成功
104.24.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,178.60,,成功
104.27.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,177.69,,成功
104.27.1.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,195.41,,成功
104.27.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,198.00,,成功
104.25.2.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.47,,成功
104.27.3.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,190.46,,成功
104.27.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,201.29,,成功
104.26.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.16,,成功
104.26.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,168.00,,成功
104.25.4.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,183.09,,成功
